| 2026-01-15 14:38:48 | main                 | WARN  | Configuration             | Detected a static method [base.Base.setUp()]. Static configuration methods can cause unexpected behavior.
| 2026-01-15 14:38:48 | main                 | WARN  | Configuration             | Detected a static method [base.Base.setUp()]. Static configuration methods can cause unexpected behavior.
| 2026-01-15 14:38:48 | main                 | WARN  | Configuration             | Detected a static method [base.Base.setUp()]. Static configuration methods can cause unexpected behavior.
| 2026-01-15 14:38:48 | main                 | INFO  | SuiteListener             | >>> Starting Suite: Suite
| 2026-01-15 14:38:48 | main                 | INFO  | TestListener              | === Starting test group: FlipkartHomePageTest ===
| 2026-01-15 14:38:48 | main                 | INFO  | Base                      | Selenium Grid is NOT running. Launching local ChromeDriver.
| 2026-01-15 14:38:51 | main                 | INFO  | Base                      | Browser initiated
| 2026-01-15 14:38:53 | main                 | INFO  | Base                      | Navigated to Flipkart URL
| 2026-01-15 14:38:53 | main                 | INFO  | TestListener              | >>> Starting test: testFashionSubMenu
| 2026-01-15 14:38:54 | main                 | INFO  | HomePageTest              | Valid Sub Menu Items are displayed in Fashion dropdown
| 2026-01-15 14:38:54 | main                 | INFO  | TestListener              | ✔ Passed: testFashionSubMenu
| 2026-01-15 14:38:54 | main                 | INFO  | TestListener              | >>> Starting test: testLogo
| 2026-01-15 14:38:54 | main                 | INFO  | HomePageTest              | Flipkart Logo is Displayed
| 2026-01-15 14:38:54 | main                 | INFO  | TestListener              | ✔ Passed: testLogo
| 2026-01-15 14:38:54 | main                 | INFO  | TestListener              | >>> Starting test: testSearchField
| 2026-01-15 14:38:54 | main                 | INFO  | HomePageTest              | Valid data is displayed in search field
| 2026-01-15 14:38:54 | main                 | INFO  | TestListener              | ✔ Passed: testSearchField
| 2026-01-15 14:38:54 | main                 | INFO  | Base                      | Browser closed
| 2026-01-15 14:38:54 | main                 | INFO  | TestListener              | === Finished test group: FlipkartHomePageTest ===
| 2026-01-15 14:38:54 | main                 | INFO  | TestListener              | === Starting test group: FlipkartNotificationPageTest ===
| 2026-01-15 14:38:54 | main                 | INFO  | Base                      | Selenium Grid is NOT running. Launching local ChromeDriver.
| 2026-01-15 14:38:55 | main                 | INFO  | Base                      | Browser initiated
| 2026-01-15 14:38:57 | main                 | INFO  | Base                      | Navigated to Flipkart URL
| 2026-01-15 14:38:57 | main                 | INFO  | TestListener              | >>> Starting test: testPageTitle
| 2026-01-15 14:38:59 | main                 | INFO  | NotificationPageTest      | Notification page title is displayed
| 2026-01-15 14:38:59 | main                 | INFO  | TestListener              | ✔ Passed: testPageTitle
| 2026-01-15 14:38:59 | main                 | INFO  | Base                      | Browser closed
| 2026-01-15 14:38:59 | main                 | INFO  | TestListener              | === Finished test group: FlipkartNotificationPageTest ===
| 2026-01-15 14:38:59 | main                 | INFO  | TestListener              | === Starting test group: CustomerCarePageTest ===
| 2026-01-15 14:38:59 | main                 | INFO  | Base                      | Selenium Grid is NOT running. Launching local ChromeDriver.
| 2026-01-15 14:39:00 | main                 | INFO  | Base                      | Browser initiated
| 2026-01-15 14:39:02 | main                 | INFO  | Base                      | Navigated to Flipkart URL
| 2026-01-15 14:39:03 | main                 | INFO  | TestListener              | >>> Starting test: customerCarePageTitleTest
| 2026-01-15 14:39:04 | main                 | INFO  | NotificationPageTest      | Customer care page title is displayed
| 2026-01-15 14:39:04 | main                 | INFO  | TestListener              | ✔ Passed: customerCarePageTitleTest
| 2026-01-15 14:39:04 | main                 | INFO  | Base                      | Browser closed
| 2026-01-15 14:39:04 | main                 | INFO  | TestListener              | === Finished test group: CustomerCarePageTest ===
| 2026-01-15 14:39:04 | main                 | INFO  | SuiteListener             | <<< Finishing Suite: Suite
